"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","2.2uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C3","1","10uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C4,C7,C8,C10","4","100nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C5,C12","2","10nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C6","1","1.5pF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C9","1","2.0pF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C11","1","0.3pF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C13","1","3.9pF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"FB1","1","FerriteBead","","","","Ferrite_THT:LairdTech_28C0236-0JW-10","~"
"L1","1","4.7uH","","","","Inductor_SMD:L_0603_1608Metric","~"
"L2","1","2.7nH","","","","Inductor_SMD:L_0201_0603Metric","~"
"L3","1","3.5nH","","","","Inductor_SMD:L_0201_0603Metric","~"
"L4","1","0.3pF","","","","Inductor_SMD:L_0201_0603Metric","~"
"R1","1","1k","","","","Resistor_SMD:R_0201_0603Metric","~"
"U1","1","~","","","","Package_DFN_QFN:QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm_ThermalVias",""
"X2","1","32MHz","","","","Crystal:Crystal_SMD_ECS_CSM3X-2Pin_7.6x4.1mm",""
